Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Final MVP,HOF
2020-2021,Tobias Harris,12,438.0,17.8,0.561,0.2,0.186,2.6,22.3,12.8,14.9,1.3,0.9,7.2,24.6,0.5,0.7,1.2,0.135,1.6,0.7,2.3,0.5,0,0
2020-2021,Tony Snell,9,66.0,-5.7,0.156,0.688,0.0,0.0,8.2,4.1,3.9,1.5,1.3,20.0,13.4,-0.3,0.1,-0.3,-0.2,-9.4,-2.3,-11.7,-0.2,0,0
2020-2021,Torrey Craig,22,266.0,10.0,0.539,0.493,0.173,8.4,17.4,13.2,4.6,0.2,2.8,11.0,15.6,0.1,0.4,0.4,0.081,-1.8,-0.8,-2.6,0.0,0,0
2020-2021,Trae Young,16,603.0,21.2,0.551,0.401,0.373,1.3,6.8,4.1,44.8,1.6,0.0,13.3,35.4,0.8,0.6,1.4,0.114,6.8,-0.5,6.3,1.3,0,0
2020-2021,Tremont Waters,3,6.0,5.4,0.376,0.5,0.75,0.0,0.0,0.0,52.6,8.3,0.0,27.3,51.7,-0.1,0.0,-0.1,-0.46,-6.1,-3.0,-9.1,0.0,0,0
2020-2021,Trent Forrest,4,10.0,7.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,-0.046,-2.7,-4.2,-6.9,0.0,0,0
2020-2021,Trevor Ariza,4,96.0,4.0,0.413,0.739,0.0,1.9,22.2,11.7,3.2,1.5,1.0,11.5,11.9,-0.2,0.1,-0.1,-0.031,-5.7,1.0,-4.7,-0.1,0,0
2020-2021,Trey Burke,2,17.0,-12.6,0.063,0.429,0.286,6.5,0.0,3.4,7.2,0.0,0.0,0.0,21.0,-0.1,0.0,-0.1,-0.417,-11.9,-6.8,-18.7,-0.1,0,0
2020-2021,Tristan Thompson,5,132.0,22.6,0.627,0.0,0.5,24.1,18.6,21.5,5.8,1.5,4.3,10.8,14.9,0.4,0.0,0.4,0.14,2.3,-0.9,1.4,0.1,0,0
2020-2021,Ty-Shon Alexander,1,1.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0.0,0.0,0.0,1.248,23.7,5.9,29.5,0.0,0,0
2020-2021,Tyler Herro,4,93.0,7.9,0.45,0.5,0.184,1.0,13.1,6.8,12.8,0.5,1.0,6.8,20.8,-0.1,0.0,-0.1,-0.05,-0.8,-1.3,-2.2,0.0,0,0
2020-2021,Tyler Johnson,8,69.0,6.6,0.475,0.647,0.118,3.3,6.1,4.8,9.6,1.4,0.0,5.3,12.4,0.0,0.1,0.1,0.067,-2.9,-1.0,-3.9,0.0,0,0
2020-2021,Tyrese Maxey,12,156.0,12.7,0.502,0.182,0.333,0.7,14.3,7.7,14.7,0.9,3.1,6.2,22.3,0.0,0.2,0.2,0.074,-2.0,0.8,-1.2,0.0,0,0
2020-2021,Tyus Jones,5,47.0,10.4,0.419,0.235,0.118,2.2,15.4,8.2,16.1,1.0,0.0,0.0,16.0,0.0,0.0,0.0,-0.011,-2.1,-1.0,-3.2,0.0,0,0
2020-2021,Udoka Azubuike,1,1.0,12.0,0.36,0.067,0.4,0.0,100.0,58.1,0.0,0.0,0.0,27.24,0.0,0.0,0.0,0.0,0.116,2.2,1.8,3.9,0.0,0,0
2020-2021,Vlatko Čančar,5,21.0,25.5,1.058,0.333,1.667,0.0,17.5,8.1,6.6,2.4,4.5,16.1,12.8,0.1,0.0,0.1,0.241,6.6,5.4,12.0,0.1,0,0
2020-2021,Wesley Matthews,6,110.0,6.2,0.463,0.758,0.182,4.9,5.4,5.1,2.9,0.9,0.0,0.0,14.5,0.0,0.1,0.1,0.051,-3.4,0.4,-3.0,0.0,0,0
2020-2021,Will Barton,3,83.0,15.7,0.547,0.488,0.093,1.3,17.7,8.8,15.3,1.2,1.1,8.2,25.6,0.0,0.0,0.1,0.03,1.9,0.4,2.3,0.1,0,0
2020-2021,Willie Cauley-Stein,6,63.0,14.0,0.727,0.0,0.333,5.3,25.3,14.8,6.6,1.7,6.9,22.5,9.6,0.1,0.1,0.1,0.107,-2.5,3.4,0.8,0.0,0,0
2020-2021,Xavier Tillman Sr.,3,18.0,-0.9,0.2,0.2,0.0,5.7,13.4,9.2,6.4,2.7,0.0,16.7,14.1,-0.1,0.0,-0.1,-0.194,-8.3,-2.7,-11.0,0.0,0,0
2020-2021,Yogi Ferrell,9,15.0,11.5,0.4,0.2,0.0,0.0,22.8,11.6,29.4,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.049,-2.2,0.0,-2.2,0.0,0,0
2020-2021,Zeke Nnaji,5,18.0,25.7,0.676,0.875,0.25,5.8,6.8,6.3,17.4,2.8,0.0,0.0,21.5,0.1,0.0,0.1,0.235,10.2,2.2,12.3,0.1,0,0
2021-2022,Aaron Gordon,5,160.0,15.7,0.52,0.278,0.519,13.5,14.4,13.9,12.0,0.6,3.9,10.8,20.2,0.3,0.0,0.2,0.063,0.9,-2.2,-1.3,0.0,0,0
2021-2022,Aaron Holiday,6,20.0,63.8,0.727,0.5,0.071,18.4,0.0,8.9,98.4,7.7,4.9,0.0,33.2,0.3,0.0,0.3,0.819,35.3,14.2,49.5,0.3,0,0
2021-2022,Aaron Nesmith,15,52.0,8.9,0.32,0.647,0.235,9.0,23.0,16.2,8.4,1.9,7.0,5.1,17.1,-0.1,0.1,0.0,0.026,-4.5,2.7,-1.7,0.0,0,0
2021-2022,Al Horford,23,815.0,16.6,0.663,0.508,0.187,5.0,23.9,14.8,14.6,1.2,3.5,12.2,13.1,1.7,1.5,3.2,0.187,2.2,3.8,6.0,1.7,0,0
2021-2022,Alex Caruso,4,113.0,12.4,0.543,0.783,0.0,1.6,8.7,4.9,22.2,2.1,3.5,4.2,9.3,0.1,0.2,0.3,0.128,-0.6,3.9,3.3,0.2,0,0
2021-2022,Andre Drummond,4,60.0,10.0,0.568,0.0,0.455,6.5,19.7,13.1,7.0,4.3,4.8,31.3,14.7,-0.1,0.1,0.0,-0.012,-4.9,1.7,-3.2,0.0,0,0
2021-2022,Andre Iguodala,7,61.0,8.0,0.533,0.333,0.333,5.7,7.2,6.4,24.7,0.0,3.3,27.9,10.3,0.1,0.0,0.1,0.077,-2.7,0.5,-2.2,0.0,0,0
2021-2022,Andrew Wiggins,22,767.0,16.0,0.544,0.344,0.213,8.1,15.8,12.1,7.7,1.4,3.0,8.3,20.8,0.8,0.9,1.7,0.108,0.5,0.3,0.8,0.5,0,0
2021-2022,Anthony Edwards,6,227.0,17.8,0.604,0.518,0.309,2.1,9.8,6.1,14.8,1.4,2.6,10.7,26.4,0.3,0.2,0.5,0.102,3.2,0.2,3.5,0.3,0,0
2021-2022,Armoni Brooks,4,8.0,-18.9,0.0,1.0,0.0,0.0,34.1,15.4,0.0,0.0,0.0,0.0,23.2,-0.1,0.0,-0.1,-0.577,-20.8,-9.5,-30.3,-0.1,0,0
2021-2022,Austin Rivers,5,108.0,6.1,0.569,0.667,0.056,0.0,3.5,1.7,7.4,3.2,1.0,17.8,9.0,0.0,0.0,0.0,0.003,-3.5,1.1,-2.4,0.0,0,0
2021-2022,Ayo Dosunmu,5,86.0,6.0,0.378,0.5,0.038,4.3,11.4,7.6,19.2,0.6,0.0,10.2,15.0,-0.1,0.1,-0.1,-0.029,-3.9,-1.4,-5.3,-0.1,0,0
2021-2022,Bam Adebayo,18,614.0,17.9,0.638,0.006,0.434,6.9,21.3,13.8,12.6,1.5,2.3,15.4,17.9,1.2,1.0,2.2,0.169,0.9,2.0,2.9,0.8,0,0
2021-2022,Bismack Biyombo,9,86.0,11.4,0.636,0.0,0.353,11.4,14.8,13.1,8.0,0.6,2.3,23.4,13.7,0.1,0.0,0.1,0.054,-2.8,0.5,-2.3,0.0,0,0
