Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,6MOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,MVP,DPOY,ROY,MIP,CPOY,HOF
1996-1997,Gary Trent,82,1918.0,16.8,0.569,0.016,0.34,9.9,16.3,13.2,8.0,1.3,1.4,14.3,21.2,2.9,2.6,5.5,0.139,0.2,-0.1,0.1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Gaylon Nickerson,4,42.0,12.9,0.497,0.167,0.583,2.8,11.6,7.1,3.8,1.2,1.9,6.2,17.7,0.1,0.0,0.1,0.076,-0.6,-0.5,-1.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,George Lynch,41,1059.0,15.4,0.512,0.107,0.333,10.6,18.1,14.3,12.3,3.2,1.2,16.1,17.4,0.5,1.0,1.5,0.07,-1.1,0.1,-1.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,George McCloud,64,1493.0,14.8,0.529,0.439,0.175,2.8,11.2,6.9,13.2,2.2,0.4,8.9,21.0,1.9,1.3,3.2,0.102,0.5,-0.2,0.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,George Zídek,52,376.0,10.2,0.5,0.017,0.483,11.4,15.8,13.6,6.1,0.7,0.6,15.9,21.0,0.1,0.2,0.3,0.034,-4.4,-2.6,-6.9,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Gerald Wilkins,80,2202.0,11.2,0.503,0.267,0.25,3.1,6.2,4.6,13.8,1.3,0.4,12.7,20.2,0.9,1.2,2.1,0.046,-1.4,-1.1,-2.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Gheorghe Mureșan,73,1849.0,16.7,0.618,0.0,0.368,9.1,21.2,15.2,2.5,1.2,3.9,15.7,18.1,2.5,2.9,5.3,0.139,-1.1,0.4,-0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Glen Rice,79,3362.0,19.7,0.605,0.291,0.354,2.5,8.8,5.7,8.8,1.2,0.6,9.2,26.9,9.6,1.2,10.8,0.154,3.9,-2.1,1.8,3.2,0,1,0,0,0,1,0,0,0,0,0,0,0
1996-1997,Glenn Robinson,80,3114.0,17.5,0.528,0.125,0.253,5.1,14.6,9.9,14.8,1.8,1.6,14.4,27.8,2.0,2.7,4.7,0.072,1.3,-0.7,0.7,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Grant Hill,80,3147.0,25.5,0.556,0.026,0.503,5.0,23.1,14.2,36.0,2.6,1.3,14.4,28.3,8.7,5.9,14.6,0.223,5.4,2.7,8.2,8.0,0,1,0,0,1,0,0,0,0,0,0,0,1
