Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,Final MVP
Neil Johnston*,1,23,702.0,1.0,1.2,2.3,0.0,21.006,0.469,0.159,0.472,0.159,0.159,0.159,0.159,0.159,18.327,0.159,0.159,0.159,0.159,0.159,0.159,0
Paul Arizin*,1,47,1815.0,4.7,2.1,6.9,0.0,20.337,0.494,0.156,0.437,6.127,0.183,1.641,3.644,2.885,11.933,0.498,0.447,3.396,0.624,0.068,0.538,0
Slater Martin*,1,73,2876.0,1.4,3.2,4.6,0.0,10.416,0.436,0.076,0.516,0.076,0.076,0.076,0.076,0.076,18.497,0.076,0.076,0.076,0.076,0.076,0.076,0
Carl Braun*,1,26,706.0,0.7,0.4,1.0,0.0,15.044,0.454,0.076,0.48,1.224,0.071,0.534,1.128,0.821,19.863,0.163,0.144,0.795,0.031,0.1,0.064,0
George Yardley*,1,46,1693.0,4.7,1.6,6.2,0.0,20.73,0.506,0.173,0.467,0.173,0.173,0.173,0.173,0.173,12.207,0.173,0.173,0.173,0.173,0.173,0.173,0
Frank Ramsey*,1,98,2396.0,5.9,3.7,9.4,0.0,16.276,0.504,0.177,0.438,5.881,0.19,1.908,3.907,3.389,9.151,0.537,0.73,3.454,0.599,0.277,0.707,0
Bob Pettit*,1,88,3545.0,9.1,2.6,11.7,0.0,22.588,0.5,0.118,0.496,6.971,0.159,2.011,4.613,3.877,11.311,0.568,0.644,4.014,0.82,0.189,0.895,0
Cliff Hagan*,1,90,2965.0,8.6,1.9,10.6,0.0,20.853,0.515,0.141,0.353,7.613,0.172,2.047,4.753,3.655,17.057,0.609,0.53,4.492,0.626,0.206,0.709,0
Tom Heinsohn*,1,104,3223.0,2.4,6.8,9.1,0.0,17.664,0.45,0.092,0.281,10.028,0.136,2.754,6.54,5.121,10.218,0.697,0.603,6.177,0.934,-0.015,0.841,0
Jack Twyman*,1,34,1095.0,1.7,0.3,2.0,0.0,15.947,0.497,0.025,0.288,21.017,0.092,6.047,16.369,11.179,8.552,1.083,1.731,13.591,1.106,0.272,1.362,0
Sam Jones*,1,154,4654.0,8.9,6.3,15.1,0.0,17.507,0.501,0.041,0.297,18.904,0.157,5.723,12.448,8.815,11.565,1.53,1.402,11.637,2.196,0.319,2.487,0
Elgin Baylor*,1,134,5510.0,10.9,4.5,15.4,0.0,21.832,0.494,0.069,0.343,16.552,0.134,4.671,10.146,7.92,15.858,1.437,1.077,10.272,1.756,0.187,1.896,0
Hal Greer*,1,92,3642.0,5.0,2.4,7.3,0.0,14.764,0.49,0.031,0.347,19.224,0.096,4.485,10.109,7.862,15.505,1.569,1.097,11.337,2.353,0.169,2.509,0
K.C. Jones*,1,105,2499.0,0.0,4.7,4.8,0.0,9.246,0.432,0.027,0.419,18.369,0.091,4.677,11.223,7.963,19.41,1.425,0.948,10.796,1.63,0.191,1.83,0
Richie Guerin*,1,42,1345.0,2.4,1.1,3.4,0.0,15.516,0.507,0.028,0.445,21.788,0.121,5.181,12.533,8.771,22.763,1.447,1.034,12.364,1.727,0.062,1.802,0
Guy Rodgers*,1,46,1557.0,-1.0,2.4,1.3,0.0,11.296,0.397,0.036,0.326,15.035,0.044,3.334,9.263,6.087,24.768,0.994,0.66,9.757,0.923,-0.051,0.861,0
Wilt Chamberlain*,1,160,7559.0,15.5,15.8,31.6,0.0,22.734,0.528,0.04,0.66,21.309,0.2,5.731,13.453,13.68,12.934,1.603,1.228,12.172,2.623,0.225,2.831,1
Jerry West*,1,153,6321.0,21.3,5.5,26.7,-0.1,23.055,0.541,0.034,0.438,21.216,0.203,6.066,13.699,9.491,24.825,1.617,1.515,12.494,2.648,0.252,2.898,1
